Part,Value,Device,Package,Description,Link
C1,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C2,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C3,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C4,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C5,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C6,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C7,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C8,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C9,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C10,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C11,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C12,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C13,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
D1,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
H1,,M2.5 mounting hole,,,"http://www.aliexpress.com/item/100pcs-lot-DIN7985-M2-5-5mm-Stainless-Steel-A2-Pan-Head-Phillips-Cross-recessed-pan-head/940264374.html?spm=2114.30010308.3.91.xidEEd&ws_ab_test=searchweb201556_1,searchweb201644_5_505_506_503_504_301_502_10014_10001_10002_10016_10017_10010_10005_10006_10011_10003_10004_10009_10008,searchweb201560_3,searchweb1451318400_-1,searchweb1451318411_6450&btsid=b9274c03-095c-4156-8654-386760f47608"
H2,,M2.5 mounting hole,,,"http://www.aliexpress.com/item/100pcs-lot-DIN7985-M2-5-5mm-Stainless-Steel-A2-Pan-Head-Phillips-Cross-recessed-pan-head/940264374.html?spm=2114.30010308.3.91.xidEEd&ws_ab_test=searchweb201556_1,searchweb201644_5_505_506_503_504_301_502_10014_10001_10002_10016_10017_10010_10005_10006_10011_10003_10004_10009_10008,searchweb201560_3,searchweb1451318400_-1,searchweb1451318411_6450&btsid=b9274c03-095c-4156-8654-386760f47608"
I2C,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
IC_IN,,MM74HC589,SO16,Input shift register with SPI support,https://www.digikey.com/product-detail/en/MC74HC589ADG/MC74HC589ADGOS-ND/1480105
IC_OUT,,74HC595,SO16,Output shift register,http://www.aliexpress.com/item/Free-shipping-50pcs-74HC595D-74HC595-SOP16/910702058.html
J3V1,,"4 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
J5V,,"4 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
JGN1,,"4 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
JGN2,,"3 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
JINP,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
LED,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
LED_SYS,,SMD LED,805,,http://www.aliexpress.com/item/Free-Shipping-100PCS-0805-Ultra-Bright-SMD-R-G-B-W-Y-LEDs-yellow-blue-White/1596620234.html
PIEZO,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
R1,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
R2,1K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-1k-1K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852303271.html
R3,4.7K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-4K7-4-7K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor/852419496.html
R4,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
R5,1K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-1k-1K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852303271.html
R6,47,Resistor,805,,http://www.aliexpress.com/store/product/0805-SMD-Resistors-47R-47-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/821060_851435603.html
SPI,,"3 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
